Id,Site,Plot,Class,Order,Family,Genera,Species,Tree,Strata,Leaf,SPAD.average,Fresh.weight,Area,Dry.weight,LMA,LDMC,THICKNESS,LNC,LCC,N.C
27,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,3,43.8,12.484,0.044761,3.712,82.92933581,0.297340596,278.9035098,2.384,40.939,0.058232981
28,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,6,41.225,8.326,0.034995,2.715,77.58251179,0.326086957,237.9197028,2.5,42.928,0.058237048
29,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,7,42.75,8.531,0.036037,2.739,76.00521686,0.321064354,236.7289175,2.37,42.725,0.055471036
30,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,8,45.35,9.81,0.041927,3.12,74.41505474,0.318042813,233.9781048,2.485,41.421,0.059993723
31,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,1,36.7,3.62,0.0167,1.305,78.14371257,0.360497238,216.7664671,2.566,44.311,0.057908871
32,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,2,40.575,4.751,0.028879,1.95,67.52311368,0.410439907,164.5140067,2.548,44.521,0.057231419
33,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,3,37.95,4.456,0.028238,1.828,64.73546285,0.410233393,157.801544,2.624,42.519,0.061713587
34,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,6,29.8,2.616,0.012755333,0.741,58.09334657,0.283256881,205.090681,2.385,40.335,0.059129788
35,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,7,34.775,3.609,0.018430333,1.027,55.72335461,0.284566362,195.8184876,2.34,40.65,0.057564576
36,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,F,0,8,38.425,4.384,0.024347,1.317,54.09290672,0.300410584,180.0632521,2.88,40.368,0.071343639
37,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,1,1,38.525,11.14,0.034406,2.862,83.18316573,0.256912029,323.7807359,2.799,46.453,0.060254451
38,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,1,2,39.65,11,0.035388,3.118,88.10896349,0.283454545,310.8398327,2.859,46.124,0.061985084
39,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,1,3,41.75,11.589,0.036035,3.538,98.18232274,0.305289499,321.6039961,2.807,45.234,0.062055091
40,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,0,6,33.05,3.944,0.013294,1.159,87.18218745,0.293864097,296.6751918,NA,NA,NA
41,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,0,7,39.55,4.642,0.019459,1.454,74.7212087,0.313227057,238.5528547,2.517,41.82,0.060186514
42,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,G,0,8,39.175,4.181,0.019278,1.369,71.01359062,0.327433628,216.8793443,2.307,41.818,0.055167631
43,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,1,53.15,0.999,0.00391475,0.239,61.05115269,0.239239239,255.1887094,2.16,46.657,0.046295304
44,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,2,46.9,0.592,0.0020875,0.13,62.2754491,0.219594595,283.5928144,2.194,47.068,0.04661341
45,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,3,47.5,0.687,0.00246775,0.15,60.78411508,0.218340611,278.3912471,2.449,47.547,0.05150693
46,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,6,54.25,1.46,0.00568325,0.306,53.84243171,0.209589041,256.8952624,1.727,44.297,0.038986839
47,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,7,56.425,1.17,0.00421025,0.31,73.62983196,0.264957265,277.8932367,1.896,46.539,0.040740024
48,MET,METSUR,Dicots,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum,H (417),0,8,56.45,1.64,0.00608675,NA,NA,NA,269.4377131,1.612,46.083,0.034980362
49,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,1,1,38.125,3.551,0.013928,1.097,78.76220563,0.308927063,254.9540494,2.481,41.105,0.060357621
50,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,1,2,35.675,5.185,0.022751,1.615,70.98589073,0.31147541,227.9020702,2.515,40.465,0.062152477
51,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,1,3,41.55,6.4474,0.032687,2.109,64.52106342,0.327108602,197.2466118,2.409,39.845,0.06045928
52,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,0,6,36.625,3.089,0.014368,0.911,63.40478842,0.294917449,214.9916481,1.898,33.157,0.057242814
53,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,0,7,36.075,2.908,0.013390667,0.863,64.44787414,0.296767538,217.1661854,2.368,38.347,0.061751897
54,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,I,0,8,39.45,4.532,0.0113095,1.459,129.0065874,0.321932921,400.7250542,2.251,38.505,0.05845994
55,MET,METSUR,Dicots,Malvales,Tiliaceae,Luehea,Luehea seemannii,J (410),1,1,46.45,3.61,0.015359,1.538,100.1367277,0.426038781,235.0413438,2.025,48.471,0.041777558
56,MET,METSUR,Dicots,Malvales,Tiliaceae,Luehea,Luehea seemannii,J (410),1,2,57.6,3.285,0.015222,1.422,93.41742215,0.432876712,215.8060702,2.198,47.724,0.046056491
